Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No,Republican Support,Democratic Support,Bill Title
H R 6199,377,2018,115,231,1,46,141,0,0,strong,little,Restoring Access to Medication and Modernizing Health Savings Accounts Act of 2018
H R 5515,379,2018,115,220,5,139,49,0,0,strong,strong,John S. McCain National Defense Authorization Act for Fiscal Year 2019
H R 6439,381,2018,115,213,8,59,111,0,0,strong,little,Biometric Identification Transnational Migration Alert Program Authorization Act of 2018
H R 1635,385,2018,115,222,4,184,0,0,0,strong,strong,Empowering Students Through Enhanced Financial Counseling Act
H R 6147,388,2018,115,5,218,182,0,0,0,little,strong,"Interior, Environment, Financial Services and General Government, Agriculture, Rural Development, Food and Drug Administration, and Transportation, Housing and Urban Development Appropriations Act, 2019"
H R 6691,393,2018,115,218,4,29,148,0,0,strong,little,Community Safety and Security Act of 2018
H R 5923,394,2018,115,208,3,171,0,0,0,strong,strong,Walnut Grove Land Exchange Act
H R 3186,395,2018,115,211,2,172,0,0,0,strong,strong,Every Kid Outdoors Act
H R 4689,396,2018,115,209,1,169,0,0,0,strong,strong,To authorize early repayment of obligations to the Bureau of Reclamation within the Northport Irrigation District in the State of Nebraska.
H R 5895,399,2018,115,202,18,175,2,0,0,strong,strong,"Energy and Water, Legislative Branch, and Military Construction and Veterans Affairs Appropriations Act, 2019"
H R 6368,400,2018,115,214,6,175,0,0,0,strong,strong,Encouraging Small Business Innovators
H R 6369,401,2018,115,216,5,176,0,0,0,strong,strong,Expanding Contracting Opportunities for Small Businesses Act of 2018
H R 5420,404,2018,115,216,15,178,0,0,0,strong,strong,FDR Historic Preservation Act
H R 6157,405,2018,115,176,56,185,5,0,0,strong,strong,"Department of Defense and Labor, Health and Human Services, and Education Appropriations Act, 2019 and Continuing Appropriations Act, 2019"
H R 6729,408,2018,115,202,29,95,95,0,0,strong,moderate,Empowering Financial Institutions to Fight Human Trafficking Act of 2018
H R 6757,411,2018,115,230,0,10,177,0,0,strong,little,Family Savings Act of 2018
H R 6756,412,2018,115,229,0,31,156,0,0,strong,little,American Innovation Act of 2018
H R 6760,414,2018,115,217,10,3,181,0,0,strong,little,Protecting Family and Small Business Tax Cuts Act of 2018
H R 6064,416,2018,115,209,4,176,0,0,0,strong,strong,To rename the Oyster Bay National Wildlife Refuge as the Congressman Lester Wolff National Wildlife Refuge.
H R 2615,417,2018,115,206,1,169,0,0,0,strong,strong,Gulf Islands National Seashore Land Exchange Act
H R 5787,419,2018,115,198,1,177,0,0,0,strong,strong,Strengthening Coastal Communities Act of 2018
H R 6784,420,2018,115,187,12,9,168,0,0,strong,little,Manage our Wolves Act
H R 5273,421,2018,115,193,16,183,0,0,0,strong,strong,Global Fragility and Violence Reduction Act of 2018
H R 6207,422,2018,115,194,11,180,0,0,0,strong,strong,Democratic Republic of the Congo Democracy and Accountability Act of 2018
H R 7187,424,2018,115,172,46,178,0,0,0,strong,strong,National Flood Insurance Program Further Extension Act of 2018
H R 6901,425,2018,115,212,0,179,0,0,0,strong,strong,Federal CIO Authorization Act of 2018
H R 3008,427,2018,115,206,4,176,0,0,0,strong,strong,George W. Bush Childhood Home Study Act
H R 7217,428,2018,115,212,11,188,0,0,0,strong,strong,IMPROVE Act
S 3029,429,2018,115,218,3,188,0,0,0,strong,strong,PREEMIE Reauthorization Act of 2018
S 825,430,2018,115,216,3,187,0,0,0,strong,strong,Southeast Alaska Regional Health Consortium Land Transfer Act of 2017
H R 1222,436,2018,115,188,7,167,0,0,0,strong,strong,Congenital Heart Futures Reauthorization Act of 2017
H R 6615,437,2018,115,185,6,167,0,0,0,strong,strong,Traumatic Brain Injury Program Reauthorization Act of 2018
S 2076,438,2018,115,195,3,166,0,0,0,strong,strong,BOLD Infrastructure for Alzheimer's Act
S 2278,439,2018,115,191,4,166,0,0,0,strong,strong,State Offices of Rural Health Reauthorization Act of 2018
H R 7327,440,2018,115,198,1,164,0,0,0,strong,strong,Strengthening and Enhancing Cyber-capabilities by Utilizing Risk Exposure Technology Act
H R 7279,441,2018,115,186,10,165,0,0,0,strong,strong,Water Infrastructure Improvement Act
H R 6227,442,2018,115,185,11,163,0,0,0,strong,strong,National Quantum Initiative Act
H R 6652,443,2018,115,197,1,162,0,0,0,strong,strong,"To direct the Secretary of the Interior to convey certain facilities, easements, and rights-of-way to the Kennewick Irrigation District, and for other purposes."
S 1520,444,2018,115,189,10,161,1,0,0,strong,strong,Modernizing Recreational Fisheries Management Act of 2018
S 3530,445,2018,115,170,28,161,0,0,0,strong,strong,Museum and Library Services Act of 2018
S 756,448,2018,115,182,36,176,0,0,0,strong,strong,First Step Act of 2018
H R 7328,449,2018,115,201,9,166,0,0,0,strong,strong,Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2018
H R 5075,450,2018,115,211,2,175,0,0,0,strong,strong,Ashanti Alert Act of 2018
H R 7093,451,2018,115,215,0,171,5,0,0,strong,strong,Clean Up the Code Act of 2018
S 2896,452,2018,115,216,0,175,0,0,0,strong,strong,Justice Against Corruption on K Street Act of 2018
S 2961,453,2018,115,213,2,175,0,0,0,strong,strong,Victims of Child Abuse Act Reauthorization Act of 2018
S 2679,454,2018,115,213,1,176,0,0,0,strong,strong,Veterans Small Business Enhancement Act of 2018
H R 7227,455,2018,115,203,11,175,0,0,0,strong,strong,Taxpayer First Act of 2018
H R 4227,456,2018,115,211,2,177,0,0,0,strong,strong,Vehicular Terrorism Prevention Act of 2018
S 2652,457,2018,115,212,2,178,0,0,0,strong,strong,Stephen Michael Gleason Congressional Gold Medal Act
S 2765,458,2018,115,213,0,176,0,0,0,strong,strong,RBIC Advisers Relief Act of 2018
H R 5509,459,2018,115,200,13,178,0,0,0,strong,strong,"Innovations in Mentoring, Training, and Apprenticeships Act"
S 7,460,2018,115,212,0,178,0,0,0,strong,strong,NASA Enhanced Use Leasing Extension Act of 2018
S 2200,461,2018,115,204,9,175,0,0,0,strong,strong,National Integrated Drought Information System Reauthorization Act of 2018
H R 767,462,2018,115,208,6,178,0,0,0,strong,strong,SOAR to Health and Wellness Act of 2018
S 2322,463,2018,115,194,20,36,142,0,0,strong,little,CURD Act
H R 6418,464,2018,115,210,0,177,0,0,0,strong,strong,VA Website Accessibility Act of 2018
S 3444,465,2018,115,211,0,177,0,0,0,strong,strong,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in Lake Charles, Louisiana, as the ""Douglas Fournet Department of Veterans Affairs Clinic""."
S 3777,466,2018,115,212,0,177,0,0,0,strong,strong,Forever GI Bill Housing Payment Fulfillment Act of 2018
H R 88,470,2018,115,220,3,0,180,0,0,strong,none,Shiloh National Military Park Boundary Adjustment and Parker's Crossroads Battlefield Designation Act
H R 2606,471,2018,115,220,0,179,0,0,0,strong,strong,Stigler Act Amendments of 2018
H R 695,472,2018,115,217,8,0,177,0,0,strong,none,"Department of Defense Appropriations Act, 2018"
H R 7318,475,2018,115,203,1,169,1,0,0,strong,strong,"To amend the Federal Assets Sale and Transfer Act of 2016 to ensure that the Public Buildings Reform Board has adequate time to carry out the responsibilities of the Board, and for other purposes."
H R 7319,476,2018,115,204,0,168,1,0,0,strong,strong,"To amend the Federal Assets Sale and Transfer Act of 2016 to provide flexibility with respect to the leaseback of certain Federal real property, and for other purposes."
H R 7329,477,2018,115,205,1,173,1,0,0,strong,strong,"To make technical corrections to provisions of law enacted by the Frank LoBiondo Coast Guard Authorization Act of 2018, and for other purposes."
S 3367,478,2018,115,207,1,174,1,0,0,strong,strong,Department of Transportation Reports Harmonization Act
H R 7293,479,2018,115,200,6,175,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 770 Ayrault Road in Fairport, New York, as the ""Louise and Bob Slaughter Post Office""."
S 2276,480,2018,115,208,2,174,0,0,0,strong,strong,GAO-IG Act
S 3031,481,2018,115,208,1,175,0,0,0,strong,strong,Federal Personal Property Management Act of 2018
S 3191,482,2018,115,203,6,173,0,0,0,strong,strong,Civil Rights Cold Case Records Collection Act of 2018
H R 4174,484,2018,115,182,17,174,0,0,0,strong,strong,Foundations for Evidence-Based Policymaking Act of 2018
S 3277,485,2018,115,194,7,45,130,0,0,strong,little,Space Frontier Act of 2019
S 3661,486,2018,115,201,0,169,0,0,0,strong,strong,75th Anniversary of World War II Commemoration Act
H R 2200,487,2018,115,194,7,174,0,0,0,strong,strong,Frederick Douglass Trafficking Victims Prevention and Protection Reauthorization Act of 2018
S 1023,488,2018,115,157,43,175,0,0,0,moderate,strong,Tropical Forest Conservation Reauthorization Act of 2018
S 1158,489,2018,115,194,4,173,0,0,0,strong,strong,Elie Wiesel Genocide and Atrocities Prevention Act of 2018
S 1580,490,2018,115,188,5,174,0,0,0,strong,strong,Protecting Girls' Access to Education in Vulnerable Settings Act
S 1862,491,2018,115,197,0,173,0,0,0,strong,strong,Trafficking Victims Protection Reauthorization Act of 2017
S 3247,492,2018,115,178,18,174,0,0,0,strong,strong,Women's Entrepreneurship and Economic Empowerment Act of 2018
S 512,493,2018,115,192,6,169,4,0,0,strong,strong,Nuclear Energy Innovation and Modernization Act
S 1934,494,2018,115,195,5,7,166,0,0,strong,little,Alaska Remote Generator Reliability and Protection Act
H R 6287,495,2018,115,198,3,173,0,0,0,strong,strong,9/11 Memorial Act
S 3456,496,2018,115,192,5,173,0,0,0,strong,strong,"A bill to redesignate Hobe Sound National Wildlife Refuge as the Nathaniel P. Reed Hobe Sound National Wildlife Refuge, and for other purposes."
H R 7388,497,2018,115,146,55,2,171,0,0,moderate,little,National Flood Insurance Program Competition and Extension Act of 2018
S 3628,500,2018,115,152,47,163,1,0,0,moderate,strong,National Flood Insurance Program Extension Act
H R 269,13,2019,116,174,17,227,0,0,0,strong,strong,Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2019
H R 226,18,2019,116,183,11,231,0,0,0,strong,strong,Clarity on Small Business Participation in Category Management Act of 2019
H R 264,21,2019,116,8,188,232,0,0,0,little,strong,"Financial Services and General Government Appropriations Act, 2019"
H R 265,25,2019,116,10,183,233,0,0,0,little,strong,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2019"
S 24,28,2019,116,180,7,231,0,0,0,strong,strong,Government Employee Fair Treatment Act of 2019
H R 221,29,2019,116,185,1,226,0,0,0,strong,strong,Special Envoy to Monitor and Combat Anti-Semitism Act
H R 116,30,2019,116,180,2,223,0,0,0,strong,strong,Investing in Main Street Act of 2019
H R 135,33,2019,116,193,0,231,0,0,0,strong,strong,Elijah E. Cummings Federal Employee Antidiscrimination Act of 2019
H R 190,36,2019,116,188,6,227,0,0,0,strong,strong,Expanding Contracting Opportunities for Small Businesses Act of 2019
H R 268,39,2019,116,6,187,231,0,0,0,little,strong,"Supplemental Appropriations Act, 2019"
H R 150,41,2019,116,191,0,231,0,0,0,strong,strong,Grant Reporting Efficiency and Agreements Transparency Act of 2019
H R 328,45,2019,116,170,3,207,0,0,0,strong,strong,Hack Your State Department Act
H R 502,53,2019,116,188,3,224,0,0,0,strong,strong,FIND Trafficking Act
H R 449,57,2019,116,183,10,229,2,0,0,strong,strong,Pathways to Improving Homeland Security at the Local Level Act
H R 769,58,2019,116,186,9,228,3,0,0,strong,strong,Counterterrorism Advisory Board Act of 2019
H R 790,64,2019,116,29,161,230,0,0,0,little,strong,Federal Civilian Workforce Pay Raise Fairness Act of 2019
H R 831,66,2019,116,176,19,228,0,0,0,strong,strong,Reviving America's Scenic Byways Act of 2019
H R 66,67,2019,116,171,22,228,0,0,0,strong,strong,Route 66 Centennial Commission Act
H R 450,70,2019,116,191,0,226,0,0,0,strong,strong,Preventing Crimes Against Veterans Act of 2019
H R 840,75,2019,116,178,9,222,0,0,0,strong,strong,Veterans' Access to Child Care Act
H R 1079,77,2019,116,172,0,207,0,0,0,strong,strong,Creating Advanced Streamlined Electronic Services for Constituents Act of 2019
H R 995,84,2019,116,195,0,223,0,0,0,strong,strong,Settlement Agreement Information Database Act of 2019
H R 539,88,2019,116,171,18,214,0,0,0,strong,strong,Innovators to Entrepreneurs Act of 2019
H R 276,89,2019,116,170,19,217,0,0,0,strong,strong,Recognizing Achievement in Classified School Employees Act
S 47,95,2019,116,133,62,230,0,0,0,strong,strong,"John D. Dingell, Jr. Conservation, Management, and Recreation Act"
H R 1112,103,2019,116,3,191,225,7,0,0,little,strong,Enhanced Background Checks Act of 2019
H R 1381,104,2019,116,187,0,229,0,0,0,strong,strong,Burn Pit Registry Enhancement Act
S 49,105,2019,116,188,0,229,0,0,0,strong,strong,"A bill to designate the outstation of the Department of Veterans Affairs in North Ogden, Utah, as the Major Brent Taylor Vet Center Outstation."
H R 1122,119,2019,116,168,22,219,0,0,0,strong,strong,Housing Choice Voucher Mobility Demonstration Act of 2019
H R 596,122,2019,116,195,1,232,0,0,0,strong,strong,Crimea Annexation Non-recognition Act
H R 1388,128,2019,116,173,21,231,0,0,0,strong,strong,Lytton Rancheria Homelands Act of 2019
H R 297,129,2019,116,173,20,230,1,0,0,strong,strong,Little Shell Tribe of Chippewa Indians Restoration Act of 2019
H R 7,134,2019,116,7,187,235,0,0,0,little,strong,Paycheck Fairness Act
H R 1593,137,2019,116,168,18,216,0,0,0,strong,strong,Coordinating and Leveraging Activities for School Security Act
H R 1590,138,2019,116,183,3,211,4,0,0,strong,strong,Terrorist and Foreign Fighter Travel Exercise Act of 2019
H R 540,142,2019,116,183,7,231,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 770 Ayrault Road in Fairport, New York, as the Louise and Bob Slaughter Post Office."
H R 829,151,2019,116,192,0,231,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 1450 Montauk Highway in Mastic, New York, as the Army Specialist Thomas J. Wilwerth Post Office Building."
H R 1585,156,2019,116,33,157,230,1,0,0,little,strong,Violence Against Women Reauthorization Act of 2019
H R 1331,158,2019,116,117,56,212,0,0,0,moderate,strong,Local Water Protection Act
H R 1759,162,2019,116,167,24,226,0,0,0,strong,strong,BRIDGE for Workers Act
H R 1876,170,2019,116,172,20,220,0,0,0,strong,strong,Senior Security Act of 2019
H R 9,184,2019,116,3,190,228,0,0,0,little,strong,Climate Action Now Act
H R 1704,186,2019,116,177,16,223,0,0,0,strong,strong,Championing American Business Through Diplomacy Act of 2019
H R 1503,187,2019,116,191,0,231,0,0,0,strong,strong,Orange Book Transparency Act of 2020
H R 1520,188,2019,116,192,0,229,0,0,0,strong,strong,"Further Extension of Continuing Appropriations Act, 2021"
H R 986,196,2019,116,4,183,226,0,0,0,little,strong,Protecting Americans with Preexisting Conditions Act of 2019
H R 312,207,2019,116,47,144,228,2,0,0,little,strong,Mashpee Wampanoag Tribe Reservation Reaffirmation Act
H R 375,208,2019,116,101,88,222,8,0,0,moderate,strong,"To amend the Act of June 18, 1934, to reaffirm the authority of the Secretary of the Interior to take land into trust for Indian Tribes, and for other purposes."
H R 987,214,2019,116,5,183,229,0,0,0,little,strong,Strengthening Health Care and Lowering Prescription Drug Costs Act
H R 1952,218,2019,116,182,0,215,0,0,0,strong,strong,Intercountry Adoption Information Act of 2019
H R 2157,232,2019,116,132,58,222,0,0,0,strong,strong,"Additional Supplemental Appropriations for Disaster Relief Act, 2019"
H R 1921,241,2019,116,168,22,227,0,0,0,strong,strong,Ocean Acidification Innovation Act of 2019
H R 2539,243,2019,116,167,13,217,0,0,0,strong,strong,Strengthening Local Transportation Security Capabilities Act of 2019
H R 2590,244,2019,116,179,2,215,0,0,0,strong,strong,DHS Overseas Personnel Enhancement Act of 2019
H R 3253,333,2019,116,142,46,229,0,0,0,strong,strong,Sustaining Excellence in Medicaid Act of 2019
H R 2740,367,2019,116,0,196,226,7,0,0,none,strong,"Labor, Health and Human Services, Education, Defense, State, Foreign Operations, and Energy and Water Development Appropriations Act, 2020"
H R 3351,424,2019,116,0,191,224,5,0,0,none,strong,"Financial Services and General Government Appropriations Act, 2020"
